    附件


序号       所属省   所属市    所属县（区）              学校名称
1        北京市   顺义区      /              北京市顺义区天竺中学
2        北京市   延庆区      /              北京市延庆区第一小学
3        北京市   密云区      /            北京市育英学校密云实验小学
4        北京市   密云区      /              北京市密云区职业学校
5        北京市   密云区      /              北京市密云区第七小学
6        北京市   密云区      /              北京市密云区第六中学
7        北京市   大兴区      /             北京市建华实验亦庄学校
8        北京市   大兴区      /              人大附中亦庄新城学校
9        北京市   大兴区      /               北京亦庄实验中学
10       北京市   大兴区      /              北京市大兴区旧宫中学
11       北京市   大兴区      /               清华附中大兴学校
12       北京市   大兴区      /            北京第二实验小学大兴实验学校
13       北京市   大兴区      /            北京教育学院附属大兴实验小学
14       北京市   大兴区      /              北京小学翡翠城分校
15       北京市   大兴区      /           北京市大兴区采育镇第一中心小学
16       北京市   昌平区      /           北京市第一 〇一中学昌平实验学校
17       北京市   昌平区      /            中国人民大学附属中学昌平学校
18       北京市   昌平区      /              北京市昌平实验小学
19       北京市   昌平区      /            首都师范大学附属中学昌平学校
20       北京市   昌平区      /             北京市昌平区第四实验小学
21       北京市   顺义区      /              北京市顺义区第一中学
22       北京市   顺义区      /              北京市顺义区第八中学
23       北京市   顺义区      /              北京市顺义区第五中学
24       北京市   顺义区      /              北京市顺义区第三中学
25       北京市   顺义区      /             北京市顺义区马坡第二小学
26       北京市   顺义区      /              北京市顺义区裕龙小学
27       北京市   通州区      /              北京市通州区通运小学
28       北京市   通州区      /            北京市通州区运河中学附属小学
29       北京市   通州区      /           北京市通州区教师研修中心实验学校
30       北京市   通州区      /              北京景山学校通州分校
31       北京市   通州区      /            北京市通州区 漷县镇中心小学
32       北京市   通州区      /             北京市第五中学通州校区
33       北京市   通州区      /                 北京学校
34       北京市   房山区      /             北京市房山区南尚乐中学
35       北京市   房山区      /             北京市房山区长阳第一小学
36       北京市   房山区      /             北京市房山区良乡第五中学
37       北京市   房山区      /            北京市房山区房山长育中心小学
38       北京市   门头沟区     /            北京市门头沟区京师实验小学
39       北京市   石景山区     /             北京市石景山区红旗小学
40       北京市   石景山区     /           北京市石景山区古城第二小学分校
41       北京市   丰台区      /               北京钱学森中学
42       北京市   丰台区      /             北京市第十中学晓月苑分校
43       北京市   丰台区      /              北京市丰台区和义学校
44       北京市   丰台区      /           北京市丰台区第二中学附属实验小学
45       北京市   丰台区      /               北京第五实验学校
46       北京市   丰台区      /             北京市丰台区外国语学校
47       北京市   丰台区      /            北京市丰台区第一小学角门分校
48       北京市   丰台区      /             北京市丰台区东罗园小学
49       北京市   丰台区      /           北京教育科学研究院丰台实验小学
50       北京市   丰台区      /              北京十一学校丰台小学
51       北京市   海淀区      /             中国农业科学院附属小学
52       北京市   海淀区      /              北师大二附中海淀学校
53       北京市   海淀区      /              人大附中航天城学校
54       北京市   海淀区      /              北京邮电大学附属小学
55       北京市   海淀区      /             首都师范大学附属育新学校
56       北京市   海淀区      /          北京市海淀区教科院培英未来实验小学
57       北京市   海淀区      /             北京市海淀区清河第四小学
58       北京市   朝阳区      /           北京市朝阳区第二实验小学双桥分校
59       北京市   朝阳区      /              北京市星河实验学校
60       北京市   朝阳区      /           北京市朝阳区白家庄小学迎曦分校
61       北京市   朝阳区      /             北京市第八十中学康营分校
62       北京市   朝阳区      /               北京中学二分校
63       北京市   朝阳区      /          北京市朝阳区呼家楼中心小学团结湖分校
64       北京市   朝阳区      /             清华大学附属中学广华学校
65       北京市   朝阳区      /            北京市朝阳区呼家楼中心小学
66       北京市   朝阳区      /               北京市第八十中学
67       北京市   朝阳区      /              北京市朝阳区兴隆小学
68       北京市   朝阳区      /            北京市朝阳区花家地实验小学
69       北京市   西城区      /             北京市西城区白纸坊小学




                               2
70    北京市   西城区     /                    北京市第三十一中学
71    北京市   西城区     /                     北京市第八中学
72    北京市   西城区     /                   北京第一实验小学红莲分校
73    北京市   东城区     /                    北京市东城区景泰小学
74    北京市   东城区     /                    北京市第二十一中学
75    天津市   武清区     /                   天津市武清区杨村第九小学
76    天津市   宁河区     /                  天津市宁河区潘庄镇西塘坨小学
77    天津市   津南区     /                   天津市实验中学津南学校
78    天津市   蓟州区     /                    天津市蓟州区同乐小学
79    天津市   蓟州区     /                    天津市蓟州区第七小学
80    天津市   蓟州区     /                    天津市蓟州区实验小学
