区,学校,2026自招资格人数,详情页情况
天河区,广州市第十八中学,7,有初中tab
天河区,广州市第七十五中学,12,有初中tab
天河区,广州市第八十九中学,14,有初中tab
天河区,广州市天荣中学,13,有初中tab
天河区,广州市长兴中学,7,有初中tab
天河区,广州市骏景中学,6,有初中tab
天河区,广州市泰安中学,7,有初中tab
天河区,广州市华颖外国语学校,5,有初中tab
天河区,广州市天河中学猎德实验学校,3,有初中tab
天河区,华南理工大学附属实验学校,22,有初中tab
天河区,暨南大学附属实验学校,50,有初中tab
天河区,广州市天河区黄村中英文学校,2,有初中tab
天河区,广州市南国学校,3,有初中tab
天河区,广州市天河区明珠中英文学校,4,有初中tab
天河区,广州市天河区同仁艺体实验中学,2,有初中tab
海珠区,广州市第二十六中学,24,有初中tab
海珠区,广州市南武第二实验学校,15,有初中tab
海珠区,广州市第四十一中学,25,有初中tab
海珠区,广州市五中滨江学校,16,有初中tab
海珠区,广州市五中东晓学校,58,有初中tab
海珠区,广州市第九十七中学,57,有初中tab
海珠区,广州市海珠外国语实验中学附属学校,55,有初中tab
海珠区,广州市九十七中晓园学校,9,有初中tab
海珠区,广州市九十七中蓝天学校,23,有初中tab
海珠区,广州市江南外国语学校,136,有初中tab
海珠区,广州市景中实验中学,47,有初中tab
海珠区,广州市绿翠现代实验学校,205,有初中tab
海珠区,广州市聚德中学,19,有初中tab
海珠区,广州市海珠区劬劳中学,18,有初中tab
海珠区,广州市新滘中学,8,有初中tab
海珠区,广州市南武实验学校,64,有初中tab
海珠区,广州市海珠区六中珠江中学,206,有初中tab
海珠区,广州市执信中学琶洲实验学校,37,有初中tab
海珠区,广州市五中附属初级中学,127,有初中tab
海珠区,广州市南武中学附属学校,61,有初中tab
海珠区,广州市海珠中学,9,有初中tab
海珠区,广州市海珠区华海双语学校,5,有初中tab
海珠区,广州市海珠区南武文润学校,9,有初中tab
番禺区,广东番禺中学附属学校,52,有初中tab
番禺区,广州市番禺区实验中学,1,有初中tab
番禺区,广州市番禺区市桥东风中学,26,有初中tab
番禺区,广州市番禺区市桥侨联中学,23,有初中tab
番禺区,广州市番禺区市桥沙头中学,6,有初中tab
番禺区,广东仲元中学附属学校,23,有初中tab
番禺区,广州市番禺区钟村中学,8,有初中tab
番禺区,广州市番禺区钟村奥园学校,2,有初中tab
番禺区,广州市番禺区大石中学,21,有初中tab
番禺区,广州市番禺区洛浦中学,3,有初中tab
番禺区,广州市番禺区洛浦沙滘中学,4,有初中tab
番禺区,广州市番禺区大石富丽中学,9,有初中tab
番禺区,广州市番禺区洛溪新城中学,24,有初中tab
番禺区,广州市番禺区南村中学,15,有初中tab
番禺区,广州市番禺区南村镇侨联中学,22,有初中tab
番禺区,广东第二师范学院番禺附属初级中学,5,有初中tab
番禺区,广东番禺中学实验学校,16,有初中tab
番禺区,广东外语外贸大学番禺实验学校,13,有初中tab
番禺区,广州市番禺区化龙中学,8,有初中tab
番禺区,广州市番禺区石楼中学,6,有初中tab
番禺区,广州市番禺区石楼镇第二中学,1,有初中tab
番禺区,广州市番禺区石碁中学,3,有初中tab
番禺区,广州市番禺区育龙中学,1,有初中tab
番禺区,广州市番禺区大龙中学,21,有初中tab
番禺区,广大附中番禺实验学校,16,有初中tab
番禺区,广州市番禺区沙湾象达中学,61,有初中tab
番禺区,广州市番禺区沙湾象骏中学,8,有初中tab
番禺区,广州市番禺区市桥金山谷学校,7,有初中tab
番禺区,广州市番禺区剑桥郡加拿达外国语学校,1,有初中tab
番禺区,广州市番禺区南雅学校,18,有初中tab
番禺区,广州市番禺区丽江学校,19,有初中tab
番禺区,广州市番禺区隽新学校,6,有初中tab
番禺区,广州市番禺区市桥星海中学,42,有初中tab
番禺区,广州市番禺区石碁第四中学,9,有初中tab
番禺区,广州市番禺区市桥象圣中学,20,有初中tab
番禺区,广州市番禺区锦绣香江学校,9,有初中tab
番禺区,广州市番禺区毓贤学校,38,有初中tab
番禺区,广州市番禺区市桥桥兴中学,76,有初中tab
番禺区,广州市番禺区祈福英语实验学校,34,有初中tab
番禺区,广州南方学院番禺附属中学,40,有初中tab
番禺区,广州市番禺区华南碧桂园学校,28,有初中tab
番禺区,广州市番禺区京师奥园南奥实验学校,3,有初中tab
番禺区,广州市番禺区金海岸实验学校,44,有初中tab
番禺区,广州市番禺区新英豪中英文学校,9,有初中tab
番禺区,广州市番禺区鸿翔学校,2,有初中tab
番禺区,广州市番禺区香江实验学校,29,有初中tab
白云区,广州市白云区同和中学,19,有初中tab
白云区,广州市广园中学,6,有初中tab
白云区,广州市白云区六中实验中学（福和校区）,1,有初中tab
白云区,广州大同中学,6,有初中tab
白云区,广州市白云区太和中学,2,有初中tab
白云区,广州市第七十中学,1,有初中tab
白云区,广州市白云区龙归学校,2,有初中tab
白云区,广州市白云区神山中学,1,有初中tab
白云区,广州市白云区江高镇第三初级中学,1,有初中tab
白云区,广州市白云区嘉禾中学,3,有初中tab
白云区,广州市白云区六中实验中学（空港校区）,1,有初中tab
白云区,广东外语外贸大学实验中学,6,有初中tab
白云区,广州市第六十五中学（明德校区）,41,有初中tab
白云区,广州市白云区黄石学校,2,有初中tab
白云区,广州市白云区石井中学,1,有初中tab
白云区,广东华侨中学（白云校区）,5,有初中tab
白云区,广州市第六十五中学（同德校区）,30,有初中tab
白云区,广州市白云区广云外国语学校,4,有初中tab
白云区,广州市白云区应元颐和实验学校,1,有初中tab
白云区,广州市白云区广州培文外国语学校,58,有初中tab
白云区,广州市源雅学校,30,有初中tab
白云区,广州市白云区珠江实验学校,95,有初中tab
